,id,name,description,year,rating,votes,movie_length,age_rating,genres,countries
23,4423091,Угонщики. Кровь на капоте,"Эмиль, помешанный на автомобилях, выигрывает два билета на гонки «Формула-1» в Барселону. Об этом узнает его брат — бывший гонщик, а ныне неудачник и мелкий преступник, который уговаривает отдать второй билет ему. С ними увязывается друган-бандюган. Троица загружается в ворованный фургон и отправляется в безумное путешествие через всю Европу.",2022,5.832,442,107,18,драма|комедия,Чехия
24,5217001,Абсолют,"Икер Касильяс и Хави Эрнандес. Два игрока из клубов «Мадрид» и «Барселона», благодаря которым сборная Испании по футболу изменится навсегда. Вместе с другими успешными игроками своего поколения они превратят сборную страны в лучшую команду в истории.",2022,8.202,3046,-1,18,документальный,Испания
25,1441106,Футболист на всю голову,"Талантливый футболист Лави после удачного сезона получил то, о чем долго мечтал — внимание и перспективные предложения от серьезных клубов. Впереди его ждет приятное событие: женитьба на красивой подруге. Однако у Лави есть особенность: он незрелый и все время куда-то торопится, а еще он глупый и безответственный, что и приводит к провалу свадьбы. Внезапно на него сваливается еще одна сногсшибательная новость — у него есть восьмилетний сын, о существовании которого он даже не догадывался! Мальчонка оказался сообразительный и во многом серьезнее своего бестолкового папаши. Лави понимает, что имидж заботливого отца пойдет ему на пользу не только в профессиональной деятельности, но и поможет вернуть сбежавшую невесту.",2022,5.955,292,103,18,комедия|спорт,Чехия
26,1280371,Немного о любви,"Иза встаёт до сигнала будильника, чтобы привести себя в порядок раньше, чем проснётся Рубен. Она боится быть непривлекательной в его глазах. А самого Рубена беспокоит, что они перестали ценить время вдвоём после того, как съехались. К тому же, у Изы много работы в ветеринарной клинике, где появляется новый хирург — самоуверенный, харизматичный, красивый… Рубен тоже засиживается на рабочем месте в компании своей симпатичной бывшей. Обиды и подозрения рушат уже не идеальные отношения, которым предстоит серьёзная проверка на прочность. И не одна.",2021,6.396,1526,105,18,мелодрама|комедия,Нидерланды
27,1296387,"Бобби Моретти. Человек, победивший себя","История Бобби, у которого рассеянный склероз и ожирение. Мужчина начинает заниматься боксом, как и его покойный отец, чтобы пережить личную трагедию и обрести покой.",2022,5.982,163,96,18,драма,США
28,5259005,Снежный роман,"Эксперт по прогнозам лавинной опасности приезжает с новой программой в Национальный парк Глейшер, но директор горноспасательной службы отрицает технологии, доверяя лишь своей интуиции.",2023,6.259,2241,84,12,мелодрама|комедия,США
29,5366924,Любовь в саванне,"Работая над защитой дикой природы в Африке, биолог объединяется с дизайнером тематического парка, который хочет создать невероятный аттракцион для сафари.",2023,6.364,1675,84,18,драма|мелодрама|комедия,США|Канада|ЮАР
30,1188971,Берегитесь банды Йонссона,"Выйдя из тюрьмы, Йонссон готовит ограбление века, вот только его бывшие подельники успели перевоспитаться и стали законопослушными гражданами. Или почти стали.",2020,5.629,173,116,18,комедия|криминал,Швеция
31,1227881,Vice: Укротители кризиса,"Десять лет спустя после мирового финансового кризиса Vice решил поговорить с людьми, которые помогли спасти США от, казалось бы, неотвратимой экономической катастрофы.",2018,7.5,185,96,18,документальный|история,США
32,1221914,Дорогие воспоминания,"Дарси и Эйден готовятся встретить Рождество вместе, но неожиданный гость меняет их планы. Борьба за сохранение традиций города сделает это Рождество незабываемым.",2019,6.528,157,-1,18,мелодрама|комедия,США
33,1322967,Ветеран,"История о бывшем солдате, который пытается вернуться к нормальной жизни – и это даётся ему куда труднее, чем два десятилетия, проведённых на войне в качестве наёмника. Теперь ему нужно учиться жить по новым правилам и стать таким человеком, который умеет не только драться, но и слушать других людей. Сможет ли бывший солдат вести обычную жизнь, найти нормальную работу и удержать любимую женщину?",2020,6.67,501,100,18,драма|криминал,Чехия
34,1166113,Секрет двуглавого дракона,"Барборка и Томик проводят летние каникулы у своих бабушки и дедушки, которые живут под Драчьей скалой. Здесь они знакомятся с могучим драконом, с которым заводят дружбу. Однажды в местной пещере они обнаруживают на стене старинную карту сказочной страны — Королевства Дракона. Новый друг рассказывает о любви принцессы Адели и принца Янко, проклятии и злом эльфе Бливайзе. Вместе они отправляются в увлекательное путешествие.",2018,6.17,238,99,18,фэнтези|мелодрама|комедия|семейный,Чехия|Словакия
35,5423768,Империя,nan,2023,5.75,185,93,18,драма|комедия|история,Дания|Испания|Швеция
36,1396382,Сказка о красавице Весне,"Чудесная история из жизни древних богов: о мудром Свароге, о верных подругах Весне, Жыве и Осени, злой Морене и добродушном Смертяке. Оказывается, не так то просто хлопотать за порядком в мире — бывает и так, что своевольные люди могут доставить им кучу проблем.",2022,6.821,1492,88,12,фэнтези|семейный,Чехия
37,4356528,Когда мы были задирами,"Об инциденте школьного буллинга, который произошел в гимназии в 1960-х годах, и о том, какие долгосрочные последствия для участников тех событий он имел.",2021,6.018,116,36,18,документальный|короткометражка,Германия|США
38,956736,Как разбогатеть бесплатно,"Трое молодых продавцов из Лос-Анджелеса сталкиваются с финансовыми проблемами и понимают, что лучший способ их решить — найти сокровище.",2017,4.451,235,90,18,комедия|приключения,США
39,5149345,Миссия выполнима,"Пока в КНБ решали, кого отправить в качестве «жертвы» на опасное задание, в кабинет зашел обычный офисный сотрудник Кайрат, который уже собирался на пенсию.",2022,6.328,431,83,18,комедия|приключения,Казахстан
40,4499626,День святого Валентина,"Джек работает в магазине для влюбленных, которым управляет Кэтрин Шенк. Из-за технической ошибки им привозят тысячи цветов, и теперь ими усеян весь магазин. Джек и Кэтрин решают устроить общегородской конкурс, приуроченный ко Дню святого Валентина. В суматохе подготовки к мероприятию они сближаются.",2021,6.105,227,92,18,мелодрама,Канада
41,5196855,Ночной рейд,Бывший спецназовец берется за рискованную миссию — спасти жизнь невиновного от коварных рук продажных полицейских и самых отбитых головорезов наркокартеля.,2023,5.508,1061,113,18,боевик|триллер|криминал,Филиппины
42,991955,У меня есть друзья на небесах,"После того, как государство дало показания против гангстера, для которого он отмывал деньги, коррумпированный и погруженный в себя бухгалтер находит спасение когда его заставляют выполнять общественные работы в клинике для инвалидов.",2016,6.643,151,-1,18,комедия,Италия
43,1010962,И даже после этого,"У богатой домохозяйки на восточном побережье мир переворачивается с ног на голову, когда ее шурин заявляется в гости. Она вынуждена бороться с проблемами в браке и бросить вызов привычному.",2016,5.794,382,90,18,драма,США
44,981640,Авторское право на душу,"Известный писатель Колин знакомится с Фиби Ли, красивой молодой женщиной, изучающей литературу. Они влюбляются друг в друга, но вскоре Фиби начинает вести себя странно. Мужчину такая перемена сильно напрягает и озадачивает. Желая узнать истинные причины поведения новой подруги, Колин столкнётся со своим тёмным прошлым.",2017,5.139,259,115,18,триллер,Бельгия
45,4826024,Плохая девочка,"Успешный маркетолог Мадс, будучи в командировке в Лондоне, заводит интрижку с очаровательной Джоан. Оторвавшись на полную, Мадс возвращается в Копенгаген, где его ждет любимая. Но Джоан не собирается так просто заканчивать случайную связь. Она отправляется вслед за Мадсом, и одноразовая интрижка перерастает в зловещую историю преследования.",2023,4.862,334,83,18,триллер|драма,Великобритания|Дания
46,1191658,Лови момент,"Все истории объединены единой темой: как это – жить моментом, не думая о завтрашнем дне. Тренер бейсбольной команды для людей с ограниченными возможностями сам решает притвориться инвалидом, чтобы завоевать сердце девушки. Астронавт, потерянный в космосе, решает в последнем сообщении на Землю поделиться ВСЕМ, что думает о близких. Человек, который ненавидит соцсети, выкидывает смартфон, но случайный прохожий снимает это – и тот превращается в героя соцсетей. И еще множество веселых историй, из которых героев будет не так-то просто выпутаться.",2020,4.786,244,90,18,комедия,Италия
47,4745070,И много любви,nan,2021,6.571,262,-1,18,мелодрама|комедия,Словакия
48,1074354,Интервью с монстрами,"Кори Матис, уважаемый профессор колледжа, утверждает, что мифическое лесное существо убило его жену, превратив его в человека с навязчивой идеей о мести. Он сотрудничает с легендарной охотницей за Бигфутом Фрэн Андерсен, которая собирается получить награду в 10 миллионов долларов за поимку существа.",2019,5.03,238,109,18,комедия,США
