,id,name,description,year,rating,votes,movie_length,age_rating,genres,countries
75,882570,None,None,2002,6.731,235,4,-1,короткометражка|фантастика|музыка,США
76,798777,None,None,2008,7.97,571,5,-1,короткометражка|музыка,США
77,1022212,None,None,2006,7.784,92,2,-1,короткометражка|комедия|музыка,США
78,581088,100 лет ужаса: Семья Франкенштейна,None,1996,5.991,85,23,-1,документальный|ужасы|фантастика,США
79,417441,Нахлобучь молоденькую киску,None,2008,6.727,110,205,18,для взрослых,Великобритания
80,683805,Моя возлюбленная,Короткометражный фильм «Мой Валентин» является музыкальным видео к композиции английского певца Пола Маккартни «My Valentine».,2012,7.782,9197,3,-1,короткометражка|музыка,Великобритания|США
81,354216,Секреты,None,1990,6.646,255,80,18,для взрослых,США
82,1272856,None,None,2019,7.96,330,5,-1,короткометражка|музыка,Германия
83,566066,Броститутка,None,2010,6.2,167,3,-1,короткометражка|комедия,США
84,1199528,Франкенштейн: Камбербэтч,"Доктор Виктор Франкенштейн создает Чудовище, вдохнув жизнь в тело, созданное из частей разных умерших людей. Однако, в ужасе от безобразности своего творения, он бросает его на произвол судьбы. Одинокий, уродливый, по-детски невинный монстр ждёт от мира доверия и любви, но повсюду сталкивается лишь со злобой, жестокостью и ненавистью. Окончательно отчаявшись, Чудовище клянется разыскать своего создателя и отомстить ему самым страшным образом.",2011,8.722,2751,110,18,фантастика|драма|мелодрама,Великобритания
85,4473744,None,None,2021,7.772,490,5,-1,короткометражка|музыка,Германия
86,760823,None,None,2002,3.174,90,5,-1,короткометражка|боевик|комедия,США
87,1219259,Зона комфорта,"Главный герой - успешный видеоблогер, который живет «на полную». Однажды утром его жизнь резко меняется и он становится заключенным в спецтюрьме для интернет-преступников. Помимо блогеров, местные арестанты - обычные люди, репостнувшие не тот мем, «тролли» из комментариев, исполнители молодежных хитов, старожилы «жжшники» и прочие отморозки.",2018,7.526,3687,3,16,драма|комедия|короткометражка,Россия
88,4414052,None,None,2021,8.03,352,1,-1,короткометражка|ужасы|комедия,США
89,295639,Лучшие сцены единоборств в фильмах,"Фильм представляет собой нарезку из боевых сцен - от street fighting до кунг-фу, от бокса до женского мордобоя.",2002,6.994,807,53,-1,документальный,США
90,331954,None,Сборник лучших клипов группы с 1990 по 2000 гг.,2000,8.162,149,90,-1,музыка,Великобритания
91,922392,None,None,2008,6.183,156,4,-1,мелодрама|музыка,США
92,861642,None,None,2011,6.164,92,4,-1,короткометражка|музыка,США
93,496701,54-я церемония вручения премии «Оскар»,None,1982,5.167,133,-1,-1,церемония,США
94,257802,Ребенок-полицейский,"Одиннадцатилетний Питер хочет стать полицейским, как его отец, который геройски погиб при исполнении служебных обязанностей. Питер самостоятельно расследует ряд преступлений в городе, в котором живет, но по ошибке предъявляет обвинение невиновному, чем навлекает на свою голову гнев начальника местной полиции. Но это не останавливает Питера, и он находит настоящего преступника, убийцу своего отца. Поверят ли взрослые ребенку-полицейскому во второй раз?.",1996,6.069,225,93,-1,боевик|комедия|криминал|семейный,США
95,460478,Лихорадка на острове 4,None,2006,6.737,179,199,18,для взрослых,США
96,2481,Академия сноуборда,"Добро вновь вступает в поединок со злом, на этот раз на заснеженных склонах горнолыжного курорта. Заносчивые и тщеславные горнолыжники «наезжают» на хороших и веселых сноубордистов. Дело усугубляется тем, что во главе враждующих команд стоят родные братья – Крис Барри, вожак сноубордистов, идет против родного брата Пола Барри, предводителя горнолыжников. 

Это соперничество ужасно расстраивает их отца, мистера Барри, владельца горнолыжного курорта. Мистеру Барри предстоит решить еще одну серьезную проблему: страховая компания может закрыть его курорт, если он в срочном порядке не приведет условия отдыха к общепринятым стандартам безопасности. 

Мистер Барри нанимает инструктора, который оказывается очень странным типом по имени Руди. Этот человек ломает все, к чему бы ни прикоснулся. Лучше всего у Руди получается быть аниматором, он с удовольствием развлекает отдыхающих по вечерам. Он умеет веселить людей, но как такой деструктивный человек сможет обеспечить их безопасность? Мистер Барри отметает все сомнения в отношении ненадежности инструктора по безопасности и зачисляет его в штат. Привередничать некогда, вот-вот приедет ревизор из страховой компании!",1997,6.271,106,88,-1,комедия|спорт,США|Канада
97,455230,Преступные партнеры: Клинт Иствуд и Анджелина Джоли,None,2009,8.099,136,14,-1,документальный|короткометражка,США
98,569976,Сайлент Хилл: Путь Тьмы,Фильм о процессе съемок фильма «Сайлент Хилл».,2006,8.0,4155,59,-1,документальный,США
99,661009,Луис С.К. в театре Беакон,"Концерт известного стендап-комика Луиса С.К. Шоу прошло в театре Беакон на Манхэттене, в Нью-Йорке.",2011,7.877,1241,63,18,комедия|документальный,США
100,807200,None,None,1996,5.803,104,4,-1,боевик|музыка,Великобритания
101,20560,Проект «Охотник за тенью» 3,"На одном из космолетов под названием «Сибирь» произошла таинственная трагедия в самом начале фильма. Судя по всему, какое-то существо вселяется в людей, и их приходится убивать безвсякой уверенности в том, что ты не убиваешь своих.

Спустя 25 лет корабль «Комстат-5» с героями этого фильма чуть было не сталкивается с «Сибирью», а затем к их удивлению и ужасу, обезлюдевший, как показывали приборы, космолет разворачивается и берет курс на неминуемое столкновение. В результате несколько членов экипажа погибли, а корабль был серьезно поврежден. Кто-то очень хотел, чтобы наши герои оказались на борту «Сибири». Но кто?",1994,5.082,270,99,-1,ужасы|фантастика|боевик|триллер,США
102,307187,Take That. The Ultimate Tour,None,2006,7.956,57,112,12,документальный|музыка,Великобритания
103,138901,Быть Эммануэль,"На этот раз Эммануэль оказывается в Париже, в который она приехала не просто так, а для того, чтобы проникнуть в сознание Харлана Оница - известного телепата и мастера гипноза. Её ждёт тяжёлая работа, но вместе с помощницей Амандой она своего добьётся...",2000,4.815,127,90,18,фэнтези|мелодрама|фантастика,США
104,991625,None,None,1993,7.95,194,5,-1,короткометражка|музыка,США
105,230671,Варвар,"Древняя земля задыхается под гнетом тирана-колдуна. Темный Лорд безраздельно правит в захваченном королевстве, не видя сопротивления. Все его помыслы - это власть над миром. Для этого ему нужно завладеть лишь тремя древними магическими амулетами силы: черепом, мечом справедливости и амулетом жизни. Лишь один боец способен теперь противостоять темному властелину. Он - не просто бестрашный воин, он варвар... и имя ему - Кеин.",2003,3.362,408,79,-1,фэнтези|боевик|приключения,США
106,542597,47-я церемония вручения премии «Золотой глобус»,None,1990,4.829,113,120,-1,церемония,США
107,448999,Под маской,"Под маской - псевдодокументальный фильм, рассказывающий о первой группе супергероев в 1940-х годах, предшествовавшей Хранителям. Так называется автобиография одного из героев графического романа Watchmen - Ночного Филина I, также известного под именем Холлис Мэйсон.",2009,7.062,720,38,-1,короткометражка|приключения,США
108,496702,53-я церемония вручения премии «Оскар»,None,1981,5.049,135,-1,-1,церемония,США
109,543969,57-я церемония вручения прайм-тайм премии «Эмми»,None,2005,4.76,102,180,-1,церемония,США
110,229439,«Стена» в Берлине,"Концертное исполнение легендарной рок-оперы The Wall группы Pink Floyd, организованное её основным автором Роджером Уотерсом и состоявшееся 21 июля 1990 года на Потсдамской площади Берлина, которая долгое время была разделена Берлинской стеной.",1990,8.101,304,115,-1,документальный|музыка|концерт,Великобритания|Германия
111,687422,None,None,2010,8.123,1874,5,-1,короткометражка|музыка|драма|мелодрама,США
112,1079974,None,None,1995,7.375,114,4,-1,музыка,Великобритания
113,1404877,Кризис на Бесконечных Землях,None,2020,6.356,1913,210,-1,боевик,США
114,583590,Легенды советского кинодубляжа (выходят из тени),Фильм (на основе эксклюзивных интервью с мастерами озвучания) в интересной и познавательной форме рассказывает об искусстве дубляжа иностранных фильмов времён СССР и приоткрывает завесу над тайнами этой загадочной и недооценённой кинопрофессии.,2011,7.906,74,53,-1,документальный,Россия|Украина
115,586135,Измерения. 1991-2024,None,2010,4.493,150,27,-1,короткометражка|драма,Дания
116,502940,Джереми Кларксон: Рай и Ад,"Оригинальный обзор автомобилей от Джереми Кларксона. Настал их судный день. Джереми, с присущим ему чувством юмора, не просто выберет лучшие автомобили года, он разделит их на две категории, и определит, кто попадет в категорию «святых», а кто больше подходит на роль «грешника».",2005,7.642,87,72,0,документальный|спорт,Великобритания
117,574127,None,К Заку Эфрону на вечеринку у бассейна приезжают его провинциальный дядя Хэнк со своей подружкой.,2009,5.74,98,5,-1,короткометражка|комедия,США
118,285264,Групповуха 5,None,2006,6.93,1301,152,18,для взрослых,США
119,346122,Чума зомби: Зона мутантов,"Амбал, студент-медик и компьютерный гений оказываются в посёлке, жителей которого космические пришельцы использовали для тестирования своих инопланетных вирусов, в результате чего всё население превратилось в толпу ходячих мертвецов.",2001,5.282,99,101,-1,ужасы,Аргентина
120,690732,Тим Минчин: Так жизненно,"Двухчасовой концерт Тима Минчина, записанный в Сиднейском оперном театре в 2007 году. Составлен из материалов с альбомов «Dark Side» и «So Rock».",2007,8.319,274,113,-1,комедия|концерт,Австралия
121,5362566,Истоки,История переселения чернокожих из сельскохозяйственных районов Юга в промышленные города на Севере и Западе страны.,2023,6.059,193,141,-1,драма,США
