,id,name,description,year,rating,votes,movie_length,age_rating,genres,countries
23,5503483,Карина,"В конце лета 2014 года, перед наступлением холодной якутской осени, четырёхлетняя Карина пропадает в деревне на окраине леса. Семья, волонтеры и спасатели сбиваются с ног, прочесывая сотни километров тайги. А в это время ребенок босиком, без теплой одежды, вместе с собакой блуждает по тайге, полной кровососущих насекомых и опасных хищников.",2024,8.185,1713,91,16,биография|детектив|драма,Россия|Турция
24,925763,Акулий торнадо 4: Пробуждение,"С момента последних событий, когда всё Восточное побережье оказалось разорено сильнейшим торнадо, проходит 5 лет. Оставив шокирующие события в прошлом, Фин Шеперд и его семья смогли наконец вздохнуть свободно. Но опасность вновь настигает героев - во время отдыха в Лас-Вегасе тысячи разнообразных акул, поднятых в воздух мощными ураганными ветрами, обрушиваются на город.",2016,4.353,2237,95,18,ужасы|фантастика|боевик|триллер|комедия|приключения,США
25,4511137,Вкус любви,"Страстный любитель вина Жак переживает кризис как в профессиональном, так и в личном плане. Он одинок, его винный бизнес не приносит дохода, а самое грустное, что из-за проблем с сердцем врачи запрещают ему пить какой-либо алкоголь. Однажды в магазин заходит медсестра Гортензия, которая вообще не имеет представления о вине и с большим трудом может отличить красное от белого. Сварливый винодел и болтливая женщина, похоже, созданы друг для друга, и после первой же дегустации вин их совместное будущее кажется уже не за горами.",2022,6.938,24254,92,18,драма|мелодрама|комедия,Франция
26,859722,Клоунтергейст,"Студентка Эмма до чёртиков боится клоунов. Ей придется столкнуться со своим самым страшным кошмаром, когда в её городке объявляется злой дух в теле клоуна.",2017,3.83,710,80,18,ужасы|триллер|криминал,США
27,5455274,Приговор,"2009 год. Небольшой городок на берегу Иссык-Куля. Актан, школьник, мечтающий вступить в ряды КНБ, сталкивается с несправедливостью системы правосудия. Местный депутат готов пойти на все ради защиты своего сына Алана. Не добившись справедливости по закону, Актан вместе с другом детства Кубой захватывают здание суда с оружием в руках.",2024,7.451,3505,97,18,драма|триллер,Казахстан|Кыргызстан
28,4630909,Джойка,"Джой Уомак — одна из немногих американок, которой удалось попасть в элитный мир русского балета. Невзирая на отговоры семьи и друзей, девушка отправляется в Россию и, подражая своим любимым русским балеринам, сражается за признание представителей лучшей балетной школы в мире. Но за красотой танца скрывается мир боли и жестокой конкуренции.",2023,7.13,27922,110,18,драма|биография,США|Новая Зеландия|Польша
29,5146110,Дождь из мужчин,"Милая и немного сумасбродная Ирис имеет все, о чем только можно мечтать — безупречный муж, две дочери, собственный стоматологический кабинет, в котором отбоя нет от посетителей, чудесная квартира и верные друзья. Но уже много лет между супругами нет близости. Незнакомка советует героине завести любовника с помощью мобильного приложения. Стоит Ирис пройти регистрацию, как на нее обрушивается дождь из молодых, зрелых, брутальных и романтичных мужчин.",2023,6.141,1297,98,18,драма|комедия|мелодрама,Франция
30,5051346,Я — кот,"Фани уже 30, и она до сих пор одна из-за страха встретить маньяка. Когда у нее появляется сосед, Фани не обращает на него никакого внимания — он настолько неинтересный, что и маньяком его представить трудно. Но его кот начинает говорить с Фани, и к сожалению, слышит его только она. Кот становится ее близким другом, который понимает и поддерживает ее. Теперь её парень — кот.",2023,5.475,467,91,18,драма|мелодрама|комедия,Венгрия
31,5248892,Отражение тьмы,"Четыре молодые пары прибывают на частный остров для участия в тренинге, организаторы которого обещают укрепить их отношения. В первый же вечер участников опаивают, и все по отдельности оказываются в жутком лабиринте, где каждого пытается соблазнить кто-то из другой пары.",2023,4.881,2267,96,18,ужасы|триллер,Россия
32,5212139,Тьма человеческая,"Расселл Хэтч, агент Интерпола, неожиданно становится опекуном для маленького Джейдена, сына его покойной возлюбленной, которая работала информатором и погибла во время полицейской операции. Хэтч дал обещание матери мальчика обеспечить безопасность её сына и его дедушки. И он должен выполнить его, несмотря на разгорающуюся войну между преступными группировками в Лос-Анджелесе.",2024,4.915,430,109,0,боевик|триллер|криминал,США
33,4503004,Любовь со второй попытки,"Стефан и Эмили безумно полюбили друг друга, но судьба-злодейка разлучила их. Спустя 15 лет они, оба по-прежнему одинокие, случайно встретились в аэропорту. Смогут ли они, повзрослевшие и привыкшие к свободе, возродить забытую любовь?",2022,6.129,1017,90,18,мелодрама|комедия,Великобритания
34,5459185,Когда я стану женщиной,"Рита влюблена в стендапера Рому. Единственное, что мешает двадцатилетней Рите, ее девственность. Девушка отправляется в одиссею по летней Москве в поисках приключений и нового опыта.",2023,5.71,237,18,18,короткометражка|комедия,Россия
35,1264106,Приемный дом,"В настоящее время в США около 400 тысяч детей живут в приемных семьях. В фильме об американской системе опеки рассказ ведётся от лица тех, кто знает о ней не понаслышке. Создатели картины не идут на поводу у сенсационных заголовков и стереотипов. Их интересует свежий взгляд на проблему.",2018,6.934,180,113,18,документальный,США
36,1199688,Проект «Альцгеймер»: Записи потерянной памяти,"Фильм рассказывает о жизни семи человек, страдающих от болезни Альцгеймера разной стадии.",2009,7.565,326,48,18,документальный,США
37,1114976,Выжить и спастись,"Солдат возвращается домой после того, как его люди были убиты в Бирме. Преследуемый настойчивым журналистом, он вынужден в последний раз встретиться лицом к лицу с призраками своего прошлого.",2019,6.564,715,92,18,драма|военный,Австралия|ОАЭ
38,1391451,Женская месть,nan,2020,6.438,189,88,18,комедия,Чехия
39,45325,Живая радуга,"Чтобы спасти будущих утят, первоклассники Миша и Катя целый месяц не отходили от яиц, следя за температурой в самодельном инкубаторе. И, наконец, настал тот день, когда девять птенцов увидели свет...",1983,6.353,606,67,12,семейный,СССР
40,1265645,Большие кошки Серенгети,"Серенгети — регион в Восточной Африке, в котором живёт около семидесяти видов крупных млекопитающих. Это рассказ о семьях львов и гепардов, каждая из которых ведёт борьбу за выживание в саванне. Два львёнка, родившиеся в сезон засухи, оказываются на грани голода, поскольку у их матери заканчивается молоко. Одинокий самец гепарда Мото влюбляется в Ниоту. Сначала они становятся друзьями, а после заводят семью. Но однажды Ниота исчезает, и Мото отправляется на её поиски по бескрайним африканским равнинам.",2019,8.036,263,52,18,документальный,Корея Южная
41,1389108,Иллюзия свободы,"Семья Дэйва Хейса решает уехать от городской жизни, цивилизации и всех связанных с этим проблем в североамериканскую дикую глушь. Это их попытка обрести спокойную жизнь и существовать за счет земли. Но даже в их маленькой социальной ячейке возникают свои проблемы, и то, от чего эти люди бежали, настигает их.",2022,5.677,394,91,18,триллер|драма,США
42,5493509,Теплое,После бурной вечеринки Катя просыпается на матрасе посреди воды. Самое время разобраться в себе и найти свой путь в море возможностей.,2023,6.098,296,15,18,короткометражка,Россия
43,899070,Истории Западной Вирджинии,"Три истории о том, что значит жить, справляться с травмами и делать нечто большее, чем просто существовать в сельской местности маленького шахтёрского городка в Западной Вирджинии.",2016,5.596,135,88,18,драма,США
44,4423091,Угонщики. Кровь на капоте,"Эмиль, помешанный на автомобилях, выигрывает два билета на гонки «Формула-1» в Барселону. Об этом узнает его брат — бывший гонщик, а ныне неудачник и мелкий преступник, который уговаривает отдать второй билет ему. С ними увязывается друган-бандюган. Троица загружается в ворованный фургон и отправляется в безумное путешествие через всю Европу.",2022,5.84,475,107,18,драма|комедия,Чехия
45,396884,Альфа-самцы,"Когда Итана, славного парня, бросает его невеста, он просит своего старшего брата Кайла помочь ему вернуть ее. Кайл пытается научить Итана вести себя как ""настоящий мужчина"".",2009,5.966,172,0,18,мелодрама|комедия,США
46,689896,Как я клонировал свою мертвую жену,"У Сантьяго внезапно умерла жена Вивиана, а ведь только она умела привносить в его жизнь порядок. Парень просит своего друга, подпольного генетика, помочь ему клонировать Вивиан, чтобы они могли воссоединиться.",2014,5.649,164,83,18,фантастика|комедия,Канада
47,5217001,Абсолют,"Икер Касильяс и Хави Эрнандес. Два игрока из клубов «Мадрид» и «Барселона», благодаря которым сборная Испании по футболу изменится навсегда. Вместе с другими успешными игроками своего поколения они превратят сборную страны в лучшую команду в истории.",2022,8.194,3215,0,18,документальный,Испания
48,1184860,Командный пункт,"После электромагнитного импульса, обрушившегося на Землю, люди остались без электричества. Через какое-то время человечество стало мишенью для неизвестного ранее патогена, выкосившего большую часть населения планеты. Те, кто уцелел, живут примитивной жизнью без электричества и технологий, но у всех есть оружие, потому что люди стали друг для друга врагами. 
Хуже всего в новом мире дело обстоит с лекарствами. Когда жена Келлана царапает ногу о машину, ситуация становится безвыходной. На поиски антибиотиков есть всего несколько дней. Келлан отправляется в путь и знакомится с угрюмым стариком, дом которого настойчиво осаждают другие выжившие.",2022,5.613,240,100,18,боевик|триллер|драма,Новая Зеландия
49,1441106,Футболист на всю голову,"Талантливый футболист Лави после удачного сезона получил то, о чем долго мечтал — внимание и перспективные предложения от серьезных клубов. Впереди его ждет приятное событие: женитьба на красивой подруге. Однако у Лави есть особенность: он незрелый и все время куда-то торопится, а еще он глупый и безответственный, что и приводит к провалу свадьбы. Внезапно на него сваливается еще одна сногсшибательная новость — у него есть восьмилетний сын, о существовании которого он даже не догадывался! Мальчонка оказался сообразительный и во многом серьезнее своего бестолкового папаши. Лави понимает, что имидж заботливого отца пойдет ему на пользу не только в профессиональной деятельности, но и поможет вернуть сбежавшую невесту.",2022,6.056,488,103,18,комедия|спорт,Чехия
50,1280371,Немного о любви,"Иза встаёт до сигнала будильника, чтобы привести себя в порядок раньше, чем проснётся Рубен. Она боится быть непривлекательной в его глазах. А самого Рубена беспокоит, что они перестали ценить время вдвоём после того, как съехались. К тому же, у Изы много работы в ветеринарной клинике, где появляется новый хирург — самоуверенный, харизматичный, красивый… Рубен тоже засиживается на рабочем месте в компании своей симпатичной бывшей. Обиды и подозрения рушат уже не идеальные отношения, которым предстоит серьёзная проверка на прочность. И не одна.",2021,6.42,2392,105,18,мелодрама|комедия,Нидерланды
51,1296387,"Бобби Моретти. Человек, победивший себя","История Бобби, у которого рассеянный склероз и ожирение. Мужчина начинает заниматься боксом, как и его покойный отец, чтобы пережить личную трагедию и обрести покой.",2022,6.075,220,96,18,драма,США
52,46053,Бегущая мишень,"История о том, как встретились два одиноких человека — студент Санжар, скрывающийся от представителей власти после студенческих волнений, и баба Зина, которая его приютила в доме, где живет с 1937 года.",1991,6.736,175,82,12,драма,СССР
53,5259005,Снежный роман,"Эксперт по прогнозам лавинной опасности приезжает с новой программой в Национальный парк Глейшер, но директор горноспасательной службы отрицает технологии, доверяя лишь своей интуиции.",2023,6.295,3039,84,12,мелодрама|комедия,США
54,5366924,Любовь в саванне,"Работая над защитой дикой природы в Африке, биолог объединяется с дизайнером тематического парка, который хочет создать невероятный аттракцион для сафари.",2023,6.41,3442,84,18,драма|мелодрама|комедия,США|Канада|ЮАР
55,855500,И тогда я стала француженкой,"Чувствительная тихоня Кара живет своей обыденной жизнью до тех пор, пока появление харизматичного Джея не пробуждает в ней сильные желания. Позже путешествие Кары к самопознанию принимает мрачный и неожиданный оборот.",2016,4.928,216,106,18,триллер,Великобритания
56,1188971,Берегитесь банды Йонссона,"Выйдя из тюрьмы, Йонссон готовит ограбление века, вот только его бывшие подельники успели перевоспитаться и стали законопослушными гражданами. Или почти стали.",2020,5.686,185,116,18,комедия|криминал,Швеция
57,1187963,"Мы, Маржела","Рассказ о культовом бельгийском дизайнере и бренде, который навсегда изменил модную индустрию. Впервые с предельной откровенностью описывают историю бренда его бывшие и нынешние сотрудники — те самые «люди в белых халатах», которые все эти годы хранили верность Модному дому и оберегали миф затворника Маржелы от нападок извне.",2017,7.817,172,99,18,документальный,Нидерланды
58,1227881,Vice: Укротители кризиса,"Десять лет спустя после мирового финансового кризиса Vice решил поговорить с людьми, которые помогли спасти США от, казалось бы, неотвратимой экономической катастрофы.",2018,7.544,221,96,18,документальный|история,США
59,5452649,Маленькая нимфа,"Портрет поколения, которое верит, что счастье существует только в том случае, если им делятся в Интернете.",2016,4.618,211,80,18,триллер|драма,Бразилия
60,1221914,Дорогие воспоминания,"Дарси и Эйден готовятся встретить Рождество вместе, но неожиданный гость меняет их планы. Борьба за сохранение традиций города сделает это Рождество незабываемым.",2019,6.415,188,0,18,мелодрама|комедия,США
61,1322967,Ветеран,"История о бывшем солдате, который пытается вернуться к нормальной жизни – и это даётся ему куда труднее, чем два десятилетия, проведённых на войне в качестве наёмника. Теперь ему нужно учиться жить по новым правилам и стать таким человеком, который умеет не только драться, но и слушать других людей. Сможет ли бывший солдат вести обычную жизнь, найти нормальную работу и удержать любимую женщину?",2020,6.632,1159,100,18,драма|криминал,Чехия
62,1166113,Секрет двуглавого дракона,"Барборка и Томик проводят летние каникулы у своих бабушки и дедушки, которые живут под Драчьей скалой. Здесь они знакомятся с могучим драконом, с которым заводят дружбу. Однажды в местной пещере они обнаруживают на стене старинную карту сказочной страны — Королевства Дракона. Новый друг рассказывает о любви принцессы Адели и принца Янко, проклятии и злом эльфе Бливайзе. Вместе они отправляются в увлекательное путешествие.",2018,6.145,340,99,18,фэнтези|мелодрама|комедия|семейный,Чехия|Словакия
63,5423768,Империя,nan,2023,6.084,892,93,18,драма|комедия|история,Дания|Испания|Швеция
64,1396382,Сказка о красавице Весне,"Чудесная история из жизни древних богов: о мудром Свароге, о верных подругах Весне, Жыве и Осени, злой Морене и добродушном Смертяке. Оказывается, не так то просто хлопотать за порядком в мире — бывает и так, что своевольные люди могут доставить им кучу проблем.",2022,6.823,3611,88,12,фэнтези|семейный,Чехия
65,4356528,Когда мы были задирами,"Об инциденте школьного буллинга, который произошел в гимназии в 1960-х годах, и о том, какие долгосрочные последствия для участников тех событий он имел.",2021,6.018,118,36,18,документальный|короткометражка,Германия|США
66,956736,Как разбогатеть бесплатно,"Трое молодых продавцов из Лос-Анджелеса сталкиваются с финансовыми проблемами и понимают, что лучший способ их решить — найти сокровище.",2017,4.367,262,90,18,комедия|приключения,США
67,5149345,Миссия выполнима,"Пока в КНБ решали, кого отправить в качестве «жертвы» на опасное задание, в кабинет зашел обычный офисный сотрудник Кайрат, который уже собирался на пенсию.",2022,6.277,495,83,18,комедия|приключения,Казахстан
68,4499626,День святого Валентина,"Джек работает в магазине для влюбленных, которым управляет Кэтрин Шенк. Из-за технической ошибки им привозят тысячи цветов, и теперь ими усеян весь магазин. Джек и Кэтрин решают устроить общегородской конкурс, приуроченный ко Дню святого Валентина. В суматохе подготовки к мероприятию они сближаются.",2021,6.173,351,92,18,мелодрама,Канада
69,5196855,Ночной рейд,Бывший спецназовец берется за рискованную миссию — спасти жизнь невиновного от коварных рук продажных полицейских и самых отбитых головорезов наркокартеля.,2023,5.542,1840,113,18,боевик|триллер|криминал,Филиппины
70,5121860,Разборка в Гранде,"Владелец кинотеатра Джордж Фуллер должен защищать свой семейный бизнес от корпоративных застройщиков вместе с легендарной звездой триллеров Клодом Люком Холлидеем, который теперь должен изо всех сил бороться с корпоративной жадностью во имя искусства.",2023,5.342,385,92,18,боевик|комедия,США
71,585631,Игры мафии,"Мафия Лос-Анджелеса против мафии Лас-Вегаса — примирение этих жёстких парней невозможно, однако схожесть интересов налицо. Криминальные боссы одержимы властью. Они готовы на всё, чтобы получить полный контроль над теневым бизнесом и грязными деньгами. Интеграция преступности в широкие массы почти лишало полицию возможности разрубить порочный круг, несмотря на то, что главы обеих группировок копам были известны. Дэнни, детектив полиции Лос-Анджелеса под прикрытием, выполняя специальное задание, проникает глубоко в криминальную среду, чтобы внедриться в одну банду и уничтожить обе. Всё шло по плану, пока мужчина не познакомился с соблазнительной Энжелой, которая напрямую была связана с преступными структурами.",2012,5.731,160,99,18,боевик|драма|криминал,США
72,991955,У меня есть друзья на небесах,"После того, как государство дало показания против гангстера, для которого он отмывал деньги, коррумпированный и погруженный в себя бухгалтер находит спасение когда его заставляют выполнять общественные работы в клинике для инвалидов.",2016,6.632,183,0,18,комедия,Италия
73,1000127,Имя смерти,"История жизни, «карьеры» и морали наёмного убийцы Хулио Сантаны, который отправил на тот свет 492 человека и всё равно остался на свободе.",2017,6.109,205,98,18,драма|криминал|биография,Бразилия
74,1010962,И даже после этого,"У богатой домохозяйки на восточном побережье мир переворачивается с ног на голову, когда ее шурин заявляется в гости. Она вынуждена бороться с проблемами в браке и бросить вызов привычному.",2016,5.922,1642,90,18,драма,США
75,981640,Авторское право на душу,"Известный писатель Колин знакомится с Фиби Ли, красивой молодой женщиной, изучающей литературу. Они влюбляются друг в друга, но вскоре Фиби начинает вести себя странно. Мужчину такая перемена сильно напрягает и озадачивает. Желая узнать истинные причины поведения новой подруги, Колин столкнётся со своим тёмным прошлым.",2017,5.023,308,115,18,триллер,Бельгия
